source_index,cycle_id,building_id,cycle_day,feature,feature_value,shap_recovery_effect
9,2025-2,Tags 3,14,historical_building_recovery,0.9332659444800505,0.001699666504274771
9,2025-2,Tags 3,14,peer_delta_percentage_alive,0.0014705882352940014,9.870625457130995e-05
9,2025-2,Tags 3,14,peer_delta_weight_gap_pct,-24.473684210526308,-0.0005131046101786708
9,2025-2,Tags 3,14,missingindicator_temperature_deviation_from_band_c,1.0,9.248466007189668e-05
9,2025-2,Tags 3,14,missingindicator_humidity_deviation_from_band_pp,1.0,2.271252888543572e-05
9,2025-2,Tags 3,14,missingindicator_environment_out_of_band_days_7d,1.0,7.797088278256894e-05
9,2025-2,Tags 3,14,missingindicator_environment_staleness_days,1.0,5.487256724258428e-05
10,2025-2,Tags 3,21,cycle_day,21.0,-0.003717583853088697
10,2025-2,Tags 3,21,percentage_alive,0.9675,-0.00013069880259186913
10,2025-2,Tags 3,21,mortality_recent_3d_per_1000,0.9803921568627452,0.0016460073088313586
10,2025-2,Tags 3,21,mortality_trend_delta_per_1000,0.0,0.0001501363726160533
10,2025-2,Tags 3,21,weight_gap_pct,17.875000000000004,0.0008798084194618853
10,2025-2,Tags 3,21,weight_staleness_days,0.0,-0.003927266445125996
10,2025-2,Tags 3,21,temperature_deviation_from_band_c,1.476946133063132,0.0009402363449430737
10,2025-2,Tags 3,21,humidity_deviation_from_band_pp,14.394841269841264,0.0020433967667851825
10,2025-2,Tags 3,21,environment_out_of_band_days_7d,7.0,0.0002087571895966408
10,2025-2,Tags 3,21,environment_staleness_days,0.0,-0.00016452434679093596
10,2025-2,Tags 3,21,is_lags_building,0.0,0.0021508776177967667
10,2025-2,Tags 3,21,historical_building_recovery,0.9332659444800505,0.0014098545174675646
10,2025-2,Tags 3,21,peer_delta_percentage_alive,0.003088235294117614,0.0008975284973606536
10,2025-2,Tags 3,21,peer_delta_weight_gap_pct,2.3750000000000036,0.00015413462396228063
10,2025-2,Tags 3,21,missingindicator_temperature_deviation_from_band_c,1.0,7.738455462843093e-05
10,2025-2,Tags 3,21,missingindicator_humidity_deviation_from_band_pp,1.0,7.779750002545877e-06
10,2025-2,Tags 3,21,missingindicator_environment_out_of_band_days_7d,1.0,7.506150814239203e-05
10,2025-2,Tags 3,21,missingindicator_environment_staleness_days,1.0,4.2840992324361655e-05
11,2025-2,Tags 3,25,cycle_day,25.0,0.0024175899215837394
11,2025-2,Tags 3,25,percentage_alive,0.9555882352941176,0.00019563564897288443
11,2025-2,Tags 3,25,mortality_recent_3d_per_1000,0.8333333333333334,0.0019145362247387431
11,2025-2,Tags 3,25,mortality_trend_delta_per_1000,0.0,0.0002920070547704476
11,2025-2,Tags 3,25,weight_gap_pct,17.875000000000004,0.000814971329956552
11,2025-2,Tags 3,25,weight_staleness_days,4.0,0.001919022695335187
11,2025-2,Tags 3,25,temperature_deviation_from_band_c,1.476946133063132,0.000696997137472636
11,2025-2,Tags 3,25,humidity_deviation_from_band_pp,14.394841269841264,0.001680652348017581
11,2025-2,Tags 3,25,environment_out_of_band_days_7d,7.0,0.00016653914246927943
11,2025-2,Tags 3,25,environment_staleness_days,0.0,-0.00020122203282344172
11,2025-2,Tags 3,25,is_lags_building,0.0,0.0016750900344048199
11,2025-2,Tags 3,25,historical_building_recovery,0.9332659444800505,0.0012466773090399972
11,2025-2,Tags 3,25,peer_delta_percentage_alive,0.00588235294117645,0.001151387759538918
11,2025-2,Tags 3,25,peer_delta_weight_gap_pct,2.3750000000000036,7.386387815563711e-05
11,2025-2,Tags 3,25,missingindicator_temperature_deviation_from_band_c,1.0,0.0001432487626794701
11,2025-2,Tags 3,25,missingindicator_humidity_deviation_from_band_pp,1.0,4.095844019295519e-06
11,2025-2,Tags 3,25,missingindicator_environment_out_of_band_days_7d,1.0,0.00012870394409902279
11,2025-2,Tags 3,25,missingindicator_environment_staleness_days,1.0,8.324996200393828e-05
12,2025-3,Lags 1,7,cycle_day,7.0,-0.008803950724247896
12,2025-3,Lags 1,7,percentage_alive,0.9863684960798288,-0.001349635820525705
12,2025-3,Lags 1,7,mortality_recent_3d_per_1000,2.108576859111428,-0.0007773181806158861
12,2025-3,Lags 1,7,mortality_trend_delta_per_1000,0.2821335234022333,-0.0004611335860153962
12,2025-3,Lags 1,7,weight_gap_pct,40.588235294117645,-0.0015615560731934498
12,2025-3,Lags 1,7,weight_staleness_days,0.0,-0.005389323533562891
12,2025-3,Lags 1,7,temperature_deviation_from_band_c,3.199305555555533,-0.000762051665408135
12,2025-3,Lags 1,7,humidity_deviation_from_band_pp,6.5562499999999915,-0.002074313448176651
12,2025-3,Lags 1,7,environment_out_of_band_days_7d,7.0,0.0004913165491452338
12,2025-3,Lags 1,7,environment_staleness_days,0.0,-7.291317536688086e-05
12,2025-3,Lags 1,7,is_lags_building,1.0,-0.004027552488434154
12,2025-3,Lags 1,7,historical_building_recovery,0.9183681957667624,0.0029629659792422044
12,2025-3,Lags 1,7,peer_delta_percentage_alive,0.0,1.845716689086887e-05
12,2025-3,Lags 1,7,peer_delta_weight_gap_pct,14.70588235294117,-0.00025309773532349424
12,2025-3,Lags 1,7,missingindicator_temperature_deviation_from_band_c,0.0,-0.00030673235104239187
12,2025-3,Lags 1,7,missingindicator_humidity_deviation_from_band_pp,0.0,-0.0001283599688762704
12,2025-3,Lags 1,7,missingindicator_environment_out_of_band_days_7d,0.0,-0.00023923154654319974
12,2025-3,Lags 1,7,missingindicator_environment_staleness_days,0.0,-0.000322878314273764
13,2025-3,Lags 1,14,cycle_day,14.0,-0.005506408017539112
13,2025-3,Lags 1,14,percentage_alive,0.9731824661439772,-0.00027063770051128033
13,2025-3,Lags 1,14,mortality_recent_3d_per_1000,2.197671655975291,-0.0007613019279435138
13,2025-3,Lags 1,14,mortality_trend_delta_per_1000,0.3521365780809831,-0.0005645586497769539
13,2025-3,Lags 1,14,weight_gap_pct,32.76315789473686,-0.00018774883852433648
13,2025-3,Lags 1,14,weight_staleness_days,0.0,-0.0051963273300165425
13,2025-3,Lags 1,14,temperature_deviation_from_band_c,1.144371209785163,0.0006156284895824827
13,2025-3,Lags 1,14,humidity_deviation_from_band_pp,22.680482320896303,0.0023421662704144505
13,2025-3,Lags 1,14,environment_out_of_band_days_7d,7.0,0.0003196464005733066
13,2025-3,Lags 1,14,environment_staleness_days,0.0,-9.412232032283867e-05
13,2025-3,Lags 1,14,is_lags_building,1.0,-0.0038819234697234023
13,2025-3,Lags 1,14,historical_building_recovery,0.9183681957667624,0.00228010001832304
13,2025-3,Lags 1,14,peer_delta_percentage_alive,-0.001230285533875164,-4.294708622744219e-05
13,2025-3,Lags 1,14,peer_delta_weight_gap_pct,5.810526315789485,1.6661982797061708e-05
13,2025-3,Lags 1,14,missingindicator_temperature_deviation_from_band_c,0.0,-0.0002555639655657578
13,2025-3,Lags 1,14,missingindicator_humidity_deviation_from_band_pp,0.0,-7.0420245771908e-05
13,2025-3,Lags 1,14,missingindicator_environment_out_of_band_days_7d,0.0,-0.00020650115675653472
13,2025-3,Lags 1,14,missingindicator_environment_staleness_days,0.0,-0.0003662140568348528
14,2025-3,Lags 1,21,cycle_day,21.0,-0.001128659561971603
14,2025-3,Lags 1,21,percentage_alive,0.9610655737704918,0.00045612738991634684
14,2025-3,Lags 1,21,mortality_recent_3d_per_1000,1.7224994060346877,-0.0010632183378523259
14,2025-3,Lags 1,21,mortality_trend_delta_per_1000,0.0,0.00020448774695990977
14,2025-3,Lags 1,21,weight_gap_pct,42.375,-0.0011813286602454355
14,2025-3,Lags 1,21,weight_staleness_days,0.0,-0.0052073487259507185
14,2025-3,Lags 1,21,temperature_deviation_from_band_c,2.7731884057971,2.414188602037679e-05
14,2025-3,Lags 1,21,humidity_deviation_from_band_pp,12.64208937198066,0.0018764735867250178
14,2025-3,Lags 1,21,environment_out_of_band_days_7d,7.0,0.0003013129764819173
14,2025-3,Lags 1,21,environment_staleness_days,0.0,-7.615003578851182e-05
14,2025-3,Lags 1,21,is_lags_building,1.0,-0.0037116605612918727
14,2025-3,Lags 1,21,historical_building_recovery,0.9183681957667624,0.0022720710145481375
14,2025-3,Lags 1,21,peer_delta_percentage_alive,-0.005237558220559602,-0.00010978688662690157
14,2025-3,Lags 1,21,peer_delta_weight_gap_pct,10.988749999999996,-2.732237298355644e-05
14,2025-3,Lags 1,21,missingindicator_temperature_deviation_from_band_c,0.0,-0.0002564026934906418
14,2025-3,Lags 1,21,missingindicator_humidity_deviation_from_band_pp,0.0,-6.006202263024483e-05
